4913, 52, 77, 147
5598, 33, 96, 141
2921, 97, 39, 123
710, 85, 8, 109
2979, 91, 40, 111
973, 41, 11, 125
2239, 42, 29, 47
1913, 30, 24, 65
4558, 37, 69, 121
2309, 2, 30, 48
1088, 68, 13, 61
3745, 70, 53, 85
1224, 100, 15, 32
1892, 58, 24, 28
2144, 76, 27, 107
3793, 22, 54, 71
750, 98, 9, 45
3602, 45, 50, 136
2654, 56, 35, 88
1713, 78, 21, 110
5649, 100, 98, 129
4317, 64, 64, 104
4532, 100, 68, 144
1002, 85, 12, 43
240, 96, 3, 9
1752, 65, 22, 53
1593, 60, 20, 33
3099, 9, 42, 91
4283, 85, 63, 126
6104, 63, 118, 141
4570, 81, 69, 144
2330, 41, 30, 90
1184, 27, 14, 100
5060, 10, 81, 96
3712, 13, 52, 130
6201, 11, 124, 141
5960, 35, 110, 138
4246, 14, 62, 143
5470, 18, 93, 98
27, 79, 0, 40
3685, 21, 52, 78
2109, 66, 27, 30
3444, 40, 48, 50
1222, 78, 15, 26
5195, 91, 84, 137
118, 93, 1, 85
2873, 44, 38, 141
1741, 50, 22, 28
3095, 10, 42, 87
4880, 54, 77, 94
2400, 54, 31, 104
2097, 5, 26, 133
448, 20, 5, 95
1192, 67, 14, 118
1684, 76, 21, 64
2351, 24, 30, 132
1498, 38, 18, 128
3113, 15, 42, 109
3137, 82, 42, 145
5440, 65, 92, 107
2647, 23, 35, 74
2443, 68, 32, 78
2082, 51, 26, 103
518, 42, 6, 69
3142, 52, 43, 51
3658, 62, 51, 120
4310, 42, 64, 89
4999, 12, 79, 139
2663, 85, 35, 109
4573, 16, 70, 74
4910, 11, 77, 142
420, 13, 5, 46
3782, 43, 53, 143
5281, 4, 87, 108
676, 31, 8, 58
3604, 50, 50, 139
5277, 32, 87, 101
2687, 5, 36, 43
5688, 42, 99, 144
1818, 100, 23, 27
2513, 20, 33, 72
418, 65, 5, 44
2945, 82, 40, 58
5686, 21, 99, 142
656, 10, 8, 23
4232, 18, 62, 117
3372, 53, 46, 130
5160, 57, 83, 139
3675, 59, 52, 58
5970, 85, 111, 127
1844, 21, 23, 79
2219, 64, 28, 131
3445, 67, 48, 51
5608, 5, 97, 107
5197, 29, 84, 139
5439, 61, 92, 106
3765, 43, 53, 110
4083, 11, 59, 114
2618, 85, 34, 140
2460, 87, 32, 102
4356, 54, 65, 91
2498, 67, 33, 43
3873, 68, 55, 112
2800, 63, 37, 140
1352, 37, 16, 117
4240, 9, 62, 135
549, 81, 6, 130
4890, 3, 77, 109
6330, 97, 135, 143
1509, 50, 18, 147
6173, 46, 122, 141
1728, 72, 21, 135
5320, 8, 88, 134
1600, 5, 20, 46
4003, 58, 58, 73
5142, 80, 83, 114
747, 85, 9, 42
1965, 2, 25, 32
5965, 33, 111, 118
5782, 57, 103, 120
2813, 27, 38, 47
4448, 1, 67, 84
2002, 36, 25, 89
3693, 46, 52, 100
1592, 44, 20, 30
2577, 37, 34, 74
4596, 61, 70, 114
837, 16, 10, 55
5314, 36, 88, 123
6355, 18, 138, 147
3648, 6, 51, 105
752, 38, 9, 50
1285, 44, 15, 129
2522, 24, 33, 98
6147, 19, 121, 130
3845, 49, 55, 65
1723, 93, 21, 128
4049, 56, 58, 147
3367, 98, 46, 120
5377, 40, 90, 118
5564, 9, 95, 142
4924, 76, 78, 93
3953, 91, 57, 81
898, 98, 11, 13
419, 90, 5, 45
5750, 19, 102, 117
1158, 66, 14, 57
2474, 24, 32, 122
682, 2, 8, 72
2892, 43, 39, 68
5472, 18, 93, 105
5143, 1, 83, 116
5416, 72, 91, 118
5438, 18, 92, 105
344, 11, 4, 48
1365, 44, 16, 138
5039, 66, 80, 129
4721, 51, 73, 103
5895, 73, 107, 138
3593, 95, 50, 122
244, 50, 3, 16
4678, 70, 72, 98
1424, 78, 17, 110
1071, 84, 13, 24
4782, 27, 74, 143
4806, 87, 75, 110
1968, 5, 25, 36
2829, 19, 38, 69
1354, 17, 16, 119
5721, 4, 101, 105
2177, 53, 28, 45
3334, 66, 46, 65
